date,style,schedule,color,m3_size,doc_no,qty,log_user,status,m3_mo_no,m3_op_code,job_no,mod_no,shift,m3_op_des
2018-07-15,"JJP316F8       ",527964,"01-OFFWHITE-TARTANTOP         ",L,337,132,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,31,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",527964,"01-OFFWHITE-TARTANTOP         ",XL,334,90,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,31,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANBOTTOM      ",L,34,300,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,6,7,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANBOTTOM      ",L,35,300,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,6,7,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANBOTTOM      ",L,36,24,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,6,7,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANTOP         ",L,98,300,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,6,7,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANTOP         ",L,99,300,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,6,7,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANTOP         ",L,100,24,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,6,7,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANTOP         ",S,106,300,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,7,7,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANTOP         ",S,107,300,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,7,7,G,"Sewing out - 130"
2018-07-15,"JJP174F8       ",528099,"69-NAVY-FLANNELBOTTOM         ",M,132,30,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,19,G,"Sewing out - 130"
2018-07-15,"JJP174F8       ",528099,"69-NAVY-FLANNELBOTTOM         ",L,131,210,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,19,G,"Sewing out - 130"
2018-07-15,"JJP174F8       ",528099,"69-NAVY-FLANNELBOTTOM         ",XL,130,120,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,19,G,"Sewing out - 130"
2018-07-15,"JJP174F8       ",528099,"69-NAVY-FLANNELTOP            ",M,191,30,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,19,G,"Sewing out - 130"
2018-07-15,"JJP174F8       ",528099,"69-NAVY-FLANNELTOP            ",L,190,210,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,19,G,"Sewing out - 130"
2018-07-15,"JJP174F8       ",528099,"69-NAVY-FLANNELTOP            ",XL,189,120,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,19,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANBOTTOM      ",M,38,300,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,3,5,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANBOTTOM      ",M,39,300,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,3,5,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANTOP         ",M,101,300,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,3,5,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANTOP         ",M,102,300,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,3,5,G,"Sewing out - 130"
2018-07-15,"JJP327F8       ",532872,"10-PINK-ROSECLAIRBOTTOM       ",3XL,322,165,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,25,G,"Sewing out - 130"
2018-07-15,"JJP174F8       ",528087,"15-RED-FLANNELBOTTOM          ",M,153,222,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,3,G,"Sewing out - 130"
2018-07-15,"JJP327F8       ",532872,"10-PINK-ROSECLAIRTOP          ",3XL,310,165,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,25,G,"Sewing out - 130"
2018-07-15,"JJP174F8       ",528087,"15-RED-FLANNELBOTTOM          ",L,148,66,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,3,G,"Sewing out - 130"
2018-07-15,"JJP174F8       ",528087,"15-RED-FLANNELBOTTOM          ",XL,147,57,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,3,G,"Sewing out - 130"
2018-07-15,"JJP174F8       ",528087,"15-RED-FLANNELTOP             ",M,252,222,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,3,G,"Sewing out - 130"
2018-07-15,"JJP174F8       ",528087,"15-RED-FLANNELTOP             ",L,247,66,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,3,G,"Sewing out - 130"
2018-07-15,"JJP174F8       ",528087,"15-RED-FLANNELTOP             ",XL,244,57,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,3,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANBOTTOM      ",M,40,300,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,4,5,G,"Sewing out - 130"
2018-07-15,"JJP327F8       ",532868,"08-DARKGREY-ROSECLAIRBOTTOM   ",S,424,528,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,9,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANBOTTOM      ",M,41,300,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,4,5,G,"Sewing out - 130"
2018-07-15,"JJP327F8       ",532868,"08-DARKGREY-ROSECLAIRTOP      ",S,448,528,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,9,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANBOTTOM      ",M,42,6,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,4,5,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANTOP         ",M,103,300,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,4,5,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANTOP         ",M,104,300,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,4,5,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANTOP         ",M,105,6,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,4,5,G,"Sewing out - 130"
2018-07-15,"JJP327F8       ",532868,"08-DARKGREY-ROSECLAIRBOTTOM   ",S,424,528,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,9,G,"Sewing out - 130"
2018-07-15,"JJP327F8       ",532868,"08-DARKGREY-ROSECLAIRTOP      ",S,448,528,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,9,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",527959,"01-OFFWHITE-TARTANBOTTOM      ",S,73,96,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,5,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",527959,"01-OFFWHITE-TARTANBOTTOM      ",M,70,120,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,5,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",527959,"01-OFFWHITE-TARTANBOTTOM      ",L,69,96,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,5,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",527959,"01-OFFWHITE-TARTANBOTTOM      ",XL,68,64,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,5,G,"Sewing out - 130"
2018-07-15,"JJP327F8       ",532863,"08-DARKGREY-ROSECLAIRBOTTOM   ",XS,181,42,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,10,G,"Sewing out - 130"
2018-07-15,"JJP327F8       ",532863,"08-DARKGREY-ROSECLAIRBOTTOM   ",2XL,179,66,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,10,G,"Sewing out - 130"
2018-07-15,"JJP327F8       ",532863,"08-DARKGREY-ROSECLAIRBOTTOM   ",3XL,178,78,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,10,G,"Sewing out - 130"
2018-07-15,"JJP327F8       ",532863,"08-DARKGREY-ROSECLAIRTOP      ",XS,216,42,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,10,G,"Sewing out - 130"
2018-07-15,"JJP327F8       ",532863,"08-DARKGREY-ROSECLAIRTOP      ",2XL,215,66,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,10,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",527959,"01-OFFWHITE-TARTANTOP         ",S,146,96,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,5,G,"Sewing out - 130"
2018-07-15,"JJP327F8       ",532863,"08-DARKGREY-ROSECLAIRTOP      ",3XL,212,78,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,10,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",527959,"01-OFFWHITE-TARTANTOP         ",M,145,120,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,5,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",527959,"01-OFFWHITE-TARTANTOP         ",L,144,96,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,5,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",527959,"01-OFFWHITE-TARTANTOP         ",XL,143,64,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,5,G,"Sewing out - 130"
2018-07-15,"JJP327F8       ",532865,"10-PINK-ROSECLAIRBOTTOM       ",S,19,480,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,9,G,"Sewing out - 130"
2018-07-15,"JJP327F8       ",532865,"10-PINK-ROSECLAIRTOP          ",S,89,480,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,9,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANBOTTOM      ",XL,26,300,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,5,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANBOTTOM      ",XL,27,300,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,5,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANTOP         ",XL,90,300,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,5,G,"Sewing out - 130"
2018-07-15,"JJP327F8       ",532865,"10-PINK-ROSECLAIRBOTTOM       ",M,18,474,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,2,9,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANTOP         ",XL,91,300,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,5,G,"Sewing out - 130"
2018-07-15,"JJP327F8       ",532865,"10-PINK-ROSECLAIRTOP          ",M,88,474,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,2,9,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANBOTTOM      ",XL,28,300,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,2,5,G,"Sewing out - 130"
2018-07-15,"JJP327F8       ",532865,"10-PINK-ROSECLAIRBOTTOM       ",L,16,480,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,3,9,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANBOTTOM      ",XL,29,300,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,2,5,G,"Sewing out - 130"
2018-07-15,"JJP327F8       ",532865,"10-PINK-ROSECLAIRTOP          ",L,87,480,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,3,9,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANBOTTOM      ",XL,30,18,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,2,5,G,"Sewing out - 130"
2018-07-15,"JJP327F8       ",532865,"10-PINK-ROSECLAIRBOTTOM       ",XL,14,480,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,4,9,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANTOP         ",XL,92,300,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,2,5,G,"Sewing out - 130"
2018-07-15,"JJP327F8       ",532865,"10-PINK-ROSECLAIRTOP          ",XL,86,480,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,4,9,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANTOP         ",XL,93,300,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,2,5,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",520178,"01-OFFWHITE-TARTANTOP         ",XL,94,18,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,2,5,G,"Sewing out - 130"
2018-07-15,"JOS174F8       ",528027,"15-RED-FLANNELBOTTOM          ",M,59,222,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,3,G,"Sewing out - 130"
2018-07-15,"JOS174F8       ",528027,"15-RED-FLANNELBOTTOM          ",L,58,66,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,3,G,"Sewing out - 130"
2018-07-15,"JOS174F8       ",528027,"15-RED-FLANNELBOTTOM          ",XL,57,57,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,3,G,"Sewing out - 130"
2018-07-15,"JOS174F8       ",528027,"15-RED-FLANNELTOP             ",M,138,222,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,3,G,"Sewing out - 130"
2018-07-15,"JOS174F8       ",528027,"15-RED-FLANNELTOP             ",L,136,66,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,3,G,"Sewing out - 130"
2018-07-15,"JOS174F8       ",528027,"15-RED-FLANNELTOP             ",XL,134,57,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,3,G,"Sewing out - 130"
2018-07-15,"JJP327F8       ",532863,"08-DARKGREY-ROSECLAIRBOTTOM   ",XS,181,48,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,10,G,"Sewing out - 130"
2018-07-15,"JJP327F8       ",532863,"08-DARKGREY-ROSECLAIRBOTTOM   ",2XL,179,72,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,10,G,"Sewing out - 130"
2018-07-15,"JJP327F8       ",532863,"08-DARKGREY-ROSECLAIRBOTTOM   ",3XL,178,84,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,10,G,"Sewing out - 130"
2018-07-15,"JJP327F8       ",532863,"08-DARKGREY-ROSECLAIRTOP      ",XS,216,48,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,10,G,"Sewing out - 130"
2018-07-15,"JJP327F8       ",532863,"08-DARKGREY-ROSECLAIRTOP      ",2XL,215,72,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,10,G,"Sewing out - 130"
2018-07-15,"JJP327F8       ",532863,"08-DARKGREY-ROSECLAIRTOP      ",3XL,212,84,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,10,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",534155,"69-NAVY-TARTANBOTTOM          ",S,23,66,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,5,G,"Sewing out - 130"
2018-07-15,"JOS316F8       ",534163,"69-NAVY-TARTANBOTTOM          ",XS,361,100,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,7,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",534155,"69-NAVY-TARTANBOTTOM          ",M,22,258,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,5,G,"Sewing out - 130"
2018-07-15,"JOS316F8       ",534163,"69-NAVY-TARTANBOTTOM          ",S,360,150,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,7,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",534155,"69-NAVY-TARTANBOTTOM          ",L,21,192,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,5,G,"Sewing out - 130"
2018-07-15,"JOS316F8       ",534163,"69-NAVY-TARTANBOTTOM          ",M,359,200,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,7,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",534155,"69-NAVY-TARTANBOTTOM          ",XL,20,24,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,5,G,"Sewing out - 130"
2018-07-15,"JOS316F8       ",534163,"69-NAVY-TARTANBOTTOM          ",L,358,100,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,7,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",534155,"69-NAVY-TARTANTOP             ",S,118,66,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,5,G,"Sewing out - 130"
2018-07-15,"JOS316F8       ",534163,"69-NAVY-TARTANBOTTOM          ",XL,357,44,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,7,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",534155,"69-NAVY-TARTANTOP             ",M,117,258,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,5,G,"Sewing out - 130"
2018-07-15,"JOS316F8       ",534163,"69-NAVY-TARTANTOP             ",XS,374,100,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,7,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",534155,"69-NAVY-TARTANTOP             ",L,116,192,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,5,G,"Sewing out - 130"
2018-07-15,"JOS316F8       ",534163,"69-NAVY-TARTANTOP             ",S,373,150,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,7,G,"Sewing out - 130"
2018-07-15,"JJP316F8       ",534155,"69-NAVY-TARTANTOP             ",XL,115,24,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,5,G,"Sewing out - 130"
2018-07-15,"JOS316F8       ",534163,"69-NAVY-TARTANTOP             ",M,372,200,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,7,G,"Sewing out - 130"
2018-07-15,"JOS316F8       ",534163,"69-NAVY-TARTANTOP             ",L,371,100,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,7,G,"Sewing out - 130"
2018-07-15,"JOS316F8       ",534163,"69-NAVY-TARTANTOP             ",XL,370,44,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,7,G,"Sewing out - 130"
2018-07-15,"JJP327F8       ",532868,"08-DARKGREY-ROSECLAIRBOTTOM   ",L,418,489,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,3,16,G,"Sewing out - 130"
2018-07-15,"JJP327F8       ",532868,"08-DARKGREY-ROSECLAIRTOP      ",L,428,489,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,3,16,G,"Sewing out - 130"
2018-07-15,"JJP174F8       ",528087,"15-RED-FLANNELBOTTOM          ",M,153,222,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,3,G,"Sewing out - 130"
2018-07-15,"JJP174F8       ",528087,"15-RED-FLANNELBOTTOM          ",L,148,66,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,3,G,"Sewing out - 130"
2018-07-15,"JJP174F8       ",528087,"15-RED-FLANNELBOTTOM          ",XL,147,57,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,3,G,"Sewing out - 130"
2018-07-15,"JJP174F8       ",528087,"15-RED-FLANNELTOP             ",M,252,222,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,3,G,"Sewing out - 130"
2018-07-15,"JJP174F8       ",528087,"15-RED-FLANNELTOP             ",L,247,66,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,3,G,"Sewing out - 130"
2018-07-15,"JJP174F8       ",528087,"15-RED-FLANNELTOP             ",XL,244,57,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,3,G,"Sewing out - 130"
2018-07-15,"JOS174F8       ",528027,"15-RED-FLANNELBOTTOM          ",XS,61,82,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,3,G,"Sewing out - 130"
2018-07-15,"JOS174F8       ",528027,"15-RED-FLANNELBOTTOM          ",S,60,222,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,3,G,"Sewing out - 130"
2018-07-15,"JOS316F8       ",534163,"69-NAVY-TARTANBOTTOM          ",XS,361,100,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,7,G,"Sewing out - 130"
2018-07-15,"JOS174F8       ",528027,"15-RED-FLANNELBOTTOM          ",M,59,228,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,3,G,"Sewing out - 130"
2018-07-15,"JOS316F8       ",534163,"69-NAVY-TARTANBOTTOM          ",S,360,150,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,7,G,"Sewing out - 130"
2018-07-15,"JOS174F8       ",528027,"15-RED-FLANNELBOTTOM          ",L,58,154,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,3,G,"Sewing out - 130"
2018-07-15,"JOS316F8       ",534163,"69-NAVY-TARTANBOTTOM          ",M,359,200,beksfcs@BEK-SFCS-APPSRV.BRANDIXLK.ORG,0,,130,1,7,G,"Sewing out - 130"
