Project,SFCS,,,,,,,,,,
Reference Documents,,,,,,,,,,,
Author,"Dinesh,Priya",,,,,,,,,,
Reviewer,,,,,,,,,,,
Module,Lay Plan Preparation,,,,,,,,,,
Test Case Count,116,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Test Case ID,Test Scenario,Test Description,Test Steps,Test Data,Expected Output,Actual Output,QA Status,GIT Id,Result (Pass/Fail),Clarifications,QA Remarks/Comments
,,,4.Click on lay plan preparation,,,,,27,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Click on Select Color drop down,,,,,,,,
LPP_010,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of select schedule drop down in Lay Plan-Search Form,1.Open Browser and enter url,http://localhost/sfcsui,"when we click on select schedule dropdown,schedules should display from M3",,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Click on Select Schedule drop down,,,,,,,,
LPP_011,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of select schedule drop down in Lay Plan-Search Form,1.Open Browser and enter url,http://localhost/sfcsui,"when we click on select color dropdown,colors  should display from M3",,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from  Select Schedule drop down,427011C,,,,,,,
,,,8.Click on Select Color drop down,,,,,,,,
LPP_012,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of  drop downs in Lay Plan-Search Form,1.Open Browser and enter url,http://localhost/sfcsui,"When we click on select style dropdown,the values in select schedule and color fileds should be please select",,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from  Select Style drop down,H18122AA,,,,,,,
LPP_013,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of MO Status in Lay Paln-Search Form,1.Open Browser and enter url,http://localhost/sfcsui,MO Status should change from No to Yes,,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
LPP_014,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of Submit button in Lay Paln-Search Form,1.Open Browser and enter url,http://localhost/sfcsui,Lay Plan - Preparation Form should display,,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
LPP_015,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of Submit button in Lay Paln-Search Form,1.Open Browser and enter url,http://localhost/sfcsui,"Submit Button should disable ,due to  MO(Manufacturing Order) Status not generated from M3",,Fail,29,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as No,,,,,,,,
LPP_016,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of Enter Docket Reference,1.Open Browser and enter url,http://localhost/sfcsui,"Alert message should display as ""Please enter valid docket reference""",,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Empty docket refrence,NILL,,,,,,,
,,,7.Click on search Button,,,,,,,,
LPP_017,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of Enter Docket Reference,1.Open Browser and enter url,http://localhost/sfcsui,"Alert message should display as ""Please enter valid docket reference""",,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,"6.Enter alphabets,special characters,negative values in docket reference",abc@1,,,,,,,
,,,7.Click on search Button,,,,,,,,
LPP_018,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of Enter Docket Reference,1.Open Browser and enter url,http://localhost/sfcsui,"Alert message should display as ""Requested docket does not exist.Please contact your planner""",,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Enter invalid docket reference,12345,,,,,,,
,,,7.Click on search Button,,,,,,,,
LPP_019,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of Enter Docket Reference,1.Open Browser and enter url,http://localhost/sfcsui,Lay Plan - Preparation Form should display,,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Enter Valid docket reference,634587,,,,,,,
,,,7.Click on search Button,,,,,,,,
LPP_020,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of Enter CID,1.Open Browser and enter url,http://localhost/sfcsui,"Alert message should display as ""Please enter valid CID""",Requested Docket doesnot exist. Please contact your planner.,Fail,30,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Empty CID,NILL,,,,,,,
,,,7.Click on search Button,,,,,,,,
LPP_021,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of Enter CID,1.Open Browser and enter url,http://localhost/sfcsui,"Alert message should display as ""Please enter valid CID""",Requested Docket doesnot exist. Please contact your planner.,Fail,30,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,"6.Enter alphabets,special characters,negative values in CID",abc@1,,,,,,,
,,,7.Click on search Button,,,,,,,,
LPP_022,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of Enter CID,1.Open Browser and enter url,http://localhost/sfcsui,"Alert message should display as ""Requested CID does not exist.Please contact your planner""",Requested Docket doesnot exist. Please contact your planner.,Fail,30,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Enter invalid CID,12345,,,,,,,
,,,7.Click on search Button,,,,,,,,
LPP_023,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of Enter CID,1.Open Browser and enter url,http://localhost/sfcsui,Lay Plan - Preparation Form should display,,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Enter Valid CID,986756,,,,,,,
,,,7.Click on search Button,,,,,,,,
LPP_024,Verifying the functionality of lay plan preparation in Cutting,Check the fields in Lay Plan-Preparation Form after clicking on Submit button,1.Open Browser and enter url,http://localhost/sfcsui,These fields should display after click on submit button in Lay Plan -Search Form 1.Details From M3 2.Remarks 3.Category 4.Cuttable 5.Allocation 6.Ratios 7.Marker 8.Docket Creation/Edit 9.Available Slots 10.Cut Plan/Docket View 11.Quick status 12.Docket Flow 13.Control Panel 14.Recut Details,,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
LPP_025,Verifying the functionality of lay plan preparation in Cutting,Check the fields in Basic lay plan,1.Open Browser and enter url,http://localhost/sfcsui,These fields should display in basic lay plan 1.Date 2.Style 3.Destination 4.Division 5.Schedule 6.MPO 7.PO 8.Color 9.Sizes 10.Original Quantity 11.Quantity,,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
LPP_026,Verifying the functionality of lay plan preparation in Cutting,Check for the fileds in Basic lay plan editable or not,1.Open Browser and enter url,http://localhost/sfcsui,Fields in Basic lay plan are not editable,,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
LPP_027,Verifying the functionality of lay plan preparation in Cutting,Check for the quantity update in Basic lay plan,1.Open Browser and enter url,http://localhost/sfcsui,"When we add any excess quantity in order quantity update, then in basic lay plan, quantity should display with those excess values.",,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
LPP_028,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of Remarks in lay plan preparation form,1.Open Browser and enter url,http://localhost/sfcsui,By default status of remarks field should be Not Applicable(N/A),,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,QCIFGO14,,,,,,,
,,,7.Select value from Select Schedule drop down,426938,,,,,,,
,,,8.Select value from Select Color drop down,BLACK,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
LPP_029,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of Remarks link in lay plan preparation form,1.Open Browser and enter url,http://localhost/sfcsui,Order Remarks Update Form should display,,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,11.Click on N/A link in remarks,,,,,,,,
LPP_030,Verifying the functionality of lay plan preparation in Cutting,Check the fields in Order Remarks Update Form,1.Open Browser and enter url,http://localhost/sfcsui,These fields should display in order remarks update form 1.Remarks 2.Binidnig/Rib Consumption(If no item code is available),,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,12.Click on N/A link in remarks,,,,,,,,
LPP_031,Verifying the functionality of lay plan preparation in Cutting,Check the textboxes are editabe or not in Order Remarks Update Form,1.Open Browser and enter url,http://localhost/sfcsui,Text boxes Should editable,,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,12.Click on N/A link in remarks,,,,,,,,
,,,13.Click on textboxes in order remarks update form,,,,,,,,
LPP_032,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of update button in Order Remarks Update Form,1.Open Browser and enter url,http://localhost/sfcsui,"Popup message should display as ""Please enter the details in the fields""",Showing Sql Error,Fail,13,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,12.Click on N/A link in remarks,,,,,,,,
,,,13.Click on update button without giving any values in text boxes,,,,,,,,
LPP_033,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of remarks field in Order Remarks Update Form,1.Open Browser and enter url,http://localhost/sfcsui,"Message should display as ""Form sucessfully updated"" and that updated information should available in lay preparation form","Message is not showing, but remarks updated in lay plan",Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,12.Click on N/A link in remarks,,,,,,,,
,,,13.Enter the infromation in Remarks field,Test Data,,,,,,,
,,,14.Click on Update button,,,,,,,,
LPP_034,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of Binidng/Rib Consumption field in Order Remarks Update Form,1.Open Browser and enter url,http://localhost/sfcsui,"Message should display as ""Form sucessfully updated""","Message is not showing, but remarks updated in lay plan",Fail,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,11.Click on N/A link in remarks,,,,,,,,
,,,12.Enter the infromation in Remarks field,23.4,,,,,,,
,,,13.Click on Update button,,,,,,,,
LPP_035,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of Binidng/Rib Consumption field in Order Remarks Update Form,1.Open Browser and enter url,http://localhost/sfcsui,"Pop up message should display as "" please enter only float values """,Alert message is displayed but submit button is going to loading stage,Fail,31,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,12.Click on N/A link in remarks,,,,,,,,
,,,13.Enter alphabets and special charcters  in Binding field,acc@,,,,,,,
,,,14.Click on Update button,,,,,,,,
LPP_036,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of Remarks and Binidng/Rib Consumption fields in Order Remarks Update Form,1.Open Browser and enter url,http://localhost/sfcsui,"Message should display as ""Form sucessfully updated""",,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,12.Click on N/A link in remarks,,,,,,,,
,,,13.Enter the infromation in Remarks and Binding field,"Test Data , 23.4",,,,,,,
,,,14.Click on Update button,,,,,,,,
LPP_037,Verifying the functionality of lay plan preparation in Cutting,"Check all the fields in category, in lay plan preparation form",1.Open Browser and enter url,http://localhost/sfcsui,"These fields should display TID,Date,Category,CAT YY,Color Code,Fab Code,Fabric Description,Pur Width,One GMT One Way,Strip Match,Gusset Sep,Pat. Ver.,MO stat,Controls",,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,11.Check the fields in category,,,,,,,,
LPP_038,Verifying the functionality of lay plan preparation in Cutting,"Check the edit option in controls,in category",1.Open Browser and enter url,http://localhost/sfcsui,"When we click on edit option,Order Category Classification Form should display",,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on edit option in controls,in category",,,,,,,,
LPP_039,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of Click here to Go Back link,1.Open Browser and enter url,http://localhost/sfcsui,"When we click on click here to go back link,it should goes to lay plan preparation form",,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on edit option in controls,in category",,,,,,,,
,,,13.Order Category Classification Form display,,,,,,,,
,,,"14.Click on, click here to go back link",,,,,,,,
LPP_040,Verifying the functionality of lay plan preparation in Cutting,Check the fields in order Category Classification form in category,1.Open Browser and enter url,http://localhost/sfcsui,"These fields should display Fab Code,Fab Description,Consumption,Date,Category,Pur width,Pattern Ver,Gmt way,Strip Match,Gusset Sep,Enable check box,Update Button",,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on edit option in controls,in category",,,,,,,,
,,,13.Order Category Classification Form display,,,,,,,,
LPP_040,Verifying the functionality of lay plan preparation in Cutting,Check the fields in Order Category Classification form in category are Editable or not.,1.Open Browser and enter url,http://localhost/sfcsui,"These fields should not be editable : Fab Code,Fab Description,Consumption and remaining fields should editable",,,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on edit option in controls,in category",,,,,,,,
,,,13.Order Category Classification Form display,,,,,,,,
,,,14.click on fields in order category classification form,,,,,,,,
LPP_041,Verifying the functionality of lay plan preparation in Cutting,Check the functionality of date picker,1.Open Browser and enter url,http://localhost/sfcsui,"When we click on date picker, calendar should display",,Pass,,,,
,,,2.Click on workplace,,,,,,,,
,,,3.Click on cutting,,,,,,,,
,,,4.Click on lay plan preparation,,,,,,,,
,,,5.Lay Plan-Search Form display,,,,,,,,
,,,6.Select value from Select Style drop down,H18122AA,,,,,,,
,,,7.Select value from Select Schedule drop down,427011C,,,,,,,
,,,8.Select value from Select Color drop down,75-103,,,,,,,
,,,9.MO Status as Yes,,,,,,,,
,,,10.Click on submit button,,,,,,,,
,,,11.Lay plan preparation form display,,,,,,,,
,,,"12.Click on edit option in controls,in category",,,,,,,,
,,,13.Order Category Classification Form display,,,,,,,,
,,,14.Click on date picker,,,,,,,,
LPP_042,Verifying the functionality of lay plan preparation in Cutting,"Check for the values in category dropdown, in order category classification form",1.Open Browser and enter url,http://localhost/sfcsui,"These values should display in category drop down :Body,Gusset,Front,Back,Binding,Mesh,Lace,Body secondary,Front Secondary,Body Binding,Cup,Liner,Wing and select any value from category drop down ",,Pass,,,,
